"Bundesländer","Anzahl der Universitäten im jeweiligen Bundesland laut HRK-Liste (Total) Universität subsumiert Universitäten und Hochschulen mit Promotionsrecht sowie Kunst- und Musikhochschulen mit und ohne Promotionsrecht siehe Kapitel zu Anmerkungen zum Kriterium “Typ der verantwortlichen Institution”","Anzahl der Universitäten im jeweiligen Bundesland laut HRK-Liste, die ein OAR betreiben, Total (Prozent an Bundesland)","Anzahl der Fachhochschulen im jeweiligen Bundesland laut HRK-Liste (Total)","Anzahl der Fachhochschulen im jeweiligen Bundesland laut HRK-Liste, die ein OAR betreiben, Total (Prozent an Bundesland)"
"Baden-Württemberg",27,"15 (55,56 %)",42,"6 (14,29 %)"
"Bayern",23,"10 (43,48 %)",24,"4 (16,67 %)"
"Berlin",12,"5 (41,67 %)",26,"1 (3,85 %)"
"Brandenburg",4,"4 (100,00 %)",6,"3 (50,00 %)"
"Bremen",3,"1 (33,33 %)",3,"0 (0,00 %)"
"Hamburg",7,"3 (42,86 %)",9,"0 (0,00 %)"
"Hessen",13,"5 (38,46 %)",17,"1 (5,88 %)"
"Niedersachsen",13,"4 (30,77 %)",14,"2 (14,29 %)"
"Nordrhein-Westfalen",28,"11 (39,29 %)",38,"3 (7,89 %)"
"Rheinland-Pfalz",8,"4 (50,00 %)",9,"0 (0,00 %)"
"Saarland",3,"1 (33,33 %)",2,"0 (0,00 %)"
"Sachsen",11,"4 (36,36 %)",12,"1 (7,89 %)"
"Sachsen-Anhalt",4,"1 (25,00 %)",5,"0 (0,00 %)"
"Schleswig-Holstein",5,"1 (20,00 %)",7,"0 (0,00 %)"
"Thüringen",5,"2 (40,00 %)",6,"0 (0,00 %)"
"Mecklenburg-Vorpommern Zum Zeitpunkt der Erhebung entsprach kein OAR aus Mecklenburg-Vorpommern der Definition des Census, weshalb aus diesem Bundesland keine Installation aufgeführt ist.",3,"0 (0,00 %)",4,"0 (0,00 %)"
"Gesamt BRD",169,"71 (42,01 %)",224,"21 (9,38 %)"
