"Bundesländer","Total OAR (Prozent an Gesamt)","Anzahl der vorgehaltenen items, Total (Prozent an Gesamt BRD)","Anzahl der vorgehaltenen items in OAR an Universitäten, Total (Prozent an Bundesland)","Anzahl der vorgehaltenen items in OAR an Fachhochschulen, Total (Prozent an Bundesland)"
"Baden-Württemberg","31 (20,39 %)","109.326 (12,30 %)","103.804 (94,95 %)","1.380 (1,26 %)"
"Bayern","20 (13,16 %)","162.013 (18,23 %)","132.928 (82,05 %)","104 (0,06 %)"
"Berlin","12 (7,89 %)","73.228 (8,24 %)","29.682 (40,53 %)","74 (0,10 %)"
"Brandenburg","11 (7,24 %)","19.039 (2,14 %)","9.757 (51,25 %)","901 (4,73 %)"
"Bremen","2 (1,32 %)","34.803 (3,92 %)","2.380 (6,84 %)","0 (0,00 %)"
"Hamburg","5 (3,29 %)","35.554 (4,00 %)","6.450 (18,14 %)","0 (0,00 %)"
"Hessen","7 (4,61 %)","60.916 (6,85 %)","51.020 (83,75 %)","3.542 (5,81 %)"
"Niedersachsen","12 (7,89 %)","26.391 (2,97 %)","23.868 (90,44 %)","357 (1,35 %)"
"Nordrhein-Westfalen","29 (19,08 %)","227.996 (25,65 %)","78.318 (34,35 %)","1.665 (0,73 %)"
"Rheinland-Pfalz","4 (2,63 %)","6.825 (0,77 %)","6.825 (100,00 %)","0 (0,00 %)"
"Saarland","3 (1,97 %)","11.461 (1,29 %)","8.003 (69,83 %)","0 (0,00 %)"
"Sachsen","8 (5,26 %)","17.783 (2,00 %)","13.734 (77,23 %)","3.473 (19,53 %)"
"Sachsen-Anhalt","2 (1,32 %)","3.445 (0,39 %)","1.081 (31,38 %)","0 (0,00 %)"
"Schleswig-Holstein","4 (2,63 %)","90.157 (10,14 %)","2.620 (2,91 %)","0 (0,00 %)"
"Thüringen","2 (1,32 %)","9.800 (1,10 %)","9.800 (100,00 %)","0 (0,0 %)"
"Gesamt BRD","152 (100,00 %)","888.737 (100,00 %)","480.270 (54,04 %)","11.496 (1,29 %)"
