zeit;Grundschule;Gesamtschule;Hauptschule;Realschule;Integrierte Sekundarschule;Gymnasium;Freie Waldorfschule;Gesamt
Apr 08;21,10%;26,40%;1,80%;5,30%;-;19,70%;11,10%;17,40%
Apr 09;25,30%;30,20%;11,30%;6,80%;-;28,70%;11,10%;22,00%
Apr 10;35,20%;24,10%;18,00%;7,00%;-;37,60%;22,20%;28,40%
Apr 11;41,80%;36,40%;11,60%;17,60%;23,90%;34,50%;20,00%;31,60%
Apr 12;34,20%;-;-;-;25,00%;33,90%;18,20%;31,70%
Apr 13;38,30%;-;-;-;24,80%;33,30%;27,30%;34,70%
Apr 14;37,90%;-;-;-;18,70%;31,90%;20,00%;32,40%
Apr 15;38,70%;-;-;-;20,20%;36,30%;20,00%;31,80%
Apr 16;39,20%;-;-;-;22,10%;43,80%;30,00%;35,70%
Apr 17;40,80%;-;-;-;23,30%;38,40%;18,20%;35,90%
