id,collection,dc.contributor.author,dc.date.issued,dc.language.iso,dc.title[ger],dc.subtitle[ger],dc.title[eng],dc.subtitle[eng],dc.description.abstract[ger],dc.description.abstract[eng],dc.subject[ger],dc.subject[eng],dc.subject.ddc,local.edoc.container-title,local.edoc.container-publisher-name,local.edoc.type-name,local.edoc.container-type,local.edoc.container-type-name,dc.identifier.issn,local.edoc.container-issue,local.edoc.container-periodicalpart-title,local.edoc.container-url,dc.rights[ger],dc.rights.uri,dc.publisher,dc.type,dc.type.version,dc.description.version,local.edoc.container-erstkatid
+,18452/23361,"Libreas, Redaktion",2020,ger,Editorial LIBREAS #38: Tiere und Gewächse,,,,,,Bibliothek||Flora||Fauna||Grüne Bewegung||Editorial,library||animals||plants||green movement,020 Bibliotheks- und Informationswissenschaften,LIBREAS. Library Ideas,LIBREAS. Verein,Zeitschriftenartikel,periodical,Zeitschrift,1860-7950,38,#38 Tiere und Gewächse,https://libreas.eu/,(CC BY 4.0) Namensnennung 4.0 International,http://creativecommons.org/licenses/by/4.0/,Humboldt-Universität zu Berlin,article,publishedVersion,Peer Reviewed,2187218-1
+,18452/23361,"Milfort, Frank",2020,eng,,,The shark that became the Library star,,,,Bibliothek||Öffentlichkeitsarbeit||Maskottchen||Ermahnung,library||public relations||mascot||warning,020 Bibliotheks- und Informationswissenschaften,LIBREAS. Library Ideas,LIBREAS. Verein,Zeitschriftenartikel,periodical,Zeitschrift,1860-7950,38,#38 Tiere und Gewächse,https://libreas.eu/,(CC BY 4.0) Namensnennung 4.0 International,http://creativecommons.org/licenses/by/4.0/,Humboldt-Universität zu Berlin,article,publishedVersion,Peer Reviewed,2187218-1
+,18452/23361,"Becht, Michael",2020,ger,Pergament oder: Was haben Tiere jemals für uns getan?,,,,"Dieser Artikel unternimmt den Versuch, das Thema Pergament um einige Blickwinkel zu erweitern, die hauptsächlich die Tiere betreffen, aus deren Häuten dieser Beschreibstoff hergestellt wird bzw. wurde. Ein kurzer Abriss zum Herstellungsprozess dient dabei als Grundlage, die um eine ebenso knappe historische Entwicklungs- und Nutzungsgeschichte ergänzt wird. Anschließend werden einige nicht allzu ernst gemeinte quantitative Zahlenspielereien präsentiert, um die schiere Zahl der geschlachteten Tiere zu zeigen, die für die in den Altbeständen befindlichen Pergamentcodices notwendig gewesen sein müssten. Der zweite Hauptpunkt des Artikels ergänzt einige archäozoologische und agrarhistorische Aspekte zu den wichtigsten pergamentliefernden Tieren, also zu Schafen, Ziegen und Rindern, im deutschen Mittelalter.","This article tries to offer a new perspective on parchment, mainly with regard to animals whose skins were, and sometimes still are, used to manufacture this writing material. A short outline of the manufacturing process serves as a basis and is complemented by a similarly short history of development and usage. Subsequently, some calculations, which should not be taken too seriously, may illustrate the huge number of animals that had to be slaughtered to produce enough parchment for all the codices in the older collections of our libraries. The second main topic is the animals who served as the main source for parchment during the German Middle Ages, namely sheep, goats and cattle. Therefore aspects of zooarchaeology and agricultural history are brought up here as well.",Pergament||Geschichte||Bibliothek||Kodex||Tierhäute,parchment||history||library||codex||animal skin,020 Bibliotheks- und Informationswissenschaften,LIBREAS. Library Ideas,LIBREAS. Verein,Zeitschriftenartikel,periodical,Zeitschrift,1860-7950,38,#38 Tiere und Gewächse,https://libreas.eu/,(CC BY 4.0) Namensnennung 4.0 International,http://creativecommons.org/licenses/by/4.0/,Humboldt-Universität zu Berlin,article,publishedVersion,Peer Reviewed,2187218-1
+,18452/23361,"Herrmann, Elisa",2020,ger,Naturschutzgebiet Bibliothek,,,,"Die Biodiversität in Bibliotheken ist oft erst auf den zweiten Blick erkennbar. In, zwischen und auf Büchern haben ganz besondere Arten ihre biologische Nische eingerichtet – teils vom Menschen gewollt, teils ungewollt. Der Beitrag gibt einen Einblick in die Vielfalt an Organismen in Bibliotheken und die Rolle von Informationsinfrastrukturen zum Schutz von Flora und Fauna der Welt.
","Biodiversity in libraries is often only visible at second glance. Very special species have established their biological niche in, on and between books - partly wanted by humans, partly unwanted. This article provides an insight into the diversity of organisms in libraries and the role of information infrastructures in the protection of the earth’s flora and fauna.",Bibliothek||Biodiversität||Schädlinge||Insekten||Schimmelpilze||ausgestorbene Tierarten,library||biodiversity||Biodiversity Heritage Library||pests||insects||moulds||extinct species,020 Bibliotheks- und Informationswissenschaften,LIBREAS. Library Ideas,LIBREAS. Verein,Zeitschriftenartikel,periodical,Zeitschrift,1860-7950,38,#38 Tiere und Gewächse,https://libreas.eu/,(CC BY 4.0) Namensnennung 4.0 International,http://creativecommons.org/licenses/by/4.0/,Humboldt-Universität zu Berlin,article,publishedVersion,Peer Reviewed,2187218-1
+,18452/23361,"Gietkowski, Katharina Therese",2020,ger,Was lebt denn da? Mikroben in mittelalterlichen Handschriften,,,,,,Bibliothek||Handschrift||Mikroben||Analyse||Buchgeschichte,library||manuscript||microbes||analysis||book history,020 Bibliotheks- und Informationswissenschaften,LIBREAS. Library Ideas,LIBREAS. Verein,Zeitschriftenartikel,periodical,Zeitschrift,1860-7950,38,#38 Tiere und Gewächse,https://libreas.eu/,(CC BY 4.0) Namensnennung 4.0 International,http://creativecommons.org/licenses/by/4.0/,Humboldt-Universität zu Berlin,article,publishedVersion,Peer Reviewed,2187218-1
+,18452/23361,"Bhend, Andréa E.",2020,ger,Schädlingsmonitoring in einer Bibliothek mit Standort in der Altstadt,,,,"Mit dem Rückumzug der Buch- und Kartenbestände in die vollrenovierte Bibliothek Münstergasse in Bern wurde die Chance genutzt, das Schädlingsmonitoring vor Ort neu aufzugleisen. In diesem Artikel wird aufgezeigt und beispielhaft erklärt, worauf insbesondere zu achten ist und wie vorbeugende Massnahmen innerhalb eines IPM (Integrated Pest Management) aussehen können.

","With the moving of our archives into the Library Münstergasse in Bern after a major renovation, the opportunity has been used to reinstall a new pest monitoring on-site. This article shows the main factors for monitoring and preventive measures within an IPM-Program (Integrated Pest Management).",Bibliothek||Schädlingsmonitoring||Umzug||Vorsorge||Schädlinge,library||pest monitoring||relocation||precaution||pests,020 Bibliotheks- und Informationswissenschaften,LIBREAS. Library Ideas,LIBREAS. Verein,Zeitschriftenartikel,periodical,Zeitschrift,1860-7950,38,#38 Tiere und Gewächse,https://libreas.eu/,(CC BY 4.0) Namensnennung 4.0 International,http://creativecommons.org/licenses/by/4.0/,Humboldt-Universität zu Berlin,article,publishedVersion,Peer Reviewed,2187218-1
+,18452/23361,"Schuck, Nicole||Rißberger, Martina||Libreas, Redaktion",2020,ger,Interview mit Nicole Schuck und Martina Rißberger: Zwischen Naturwissenschaft und Bildender Kunst – eine künstlerische Perspektive auf naturhistorische Medien,,,,,,Interview||Bibliothek||Kunst||Kommunikation||Illustration,interview||library||art||communication||illustration,020 Bibliotheks- und Informationswissenschaften,LIBREAS. Library Ideas,LIBREAS. Verein,Zeitschriftenartikel,periodical,Zeitschrift,1860-7950,38,#38 Tiere und Gewächse,https://libreas.eu/,(CC BY 4.0) Namensnennung 4.0 International,http://creativecommons.org/licenses/by/4.0/,Humboldt-Universität zu Berlin,article,publishedVersion,Peer Reviewed,2187218-1
+,18452/23361,"Zaugg, Judith||Libreas, Redaktion",2020,ger,Neun Fragen an die Illustratorin Judith Zaugg,,,,,,Interview||Bibliothek||Kunst||Kommunikation||Illustration,interview||library||art||communication||illustration,020 Bibliotheks- und Informationswissenschaften,LIBREAS. Library Ideas,LIBREAS. Verein,Zeitschriftenartikel,periodical,Zeitschrift,1860-7950,38,#38 Tiere und Gewächse,https://libreas.eu/,(CC BY 4.0) Namensnennung 4.0 International,http://creativecommons.org/licenses/by/4.0/,Humboldt-Universität zu Berlin,article,publishedVersion,Peer Reviewed,2187218-1
+,18452/23361,"Jost, Rina||Libreas, Redaktion",2020,ger,Interview mit Rina Jost,,,,,,Interview||Bibliothek||Kunst||Kommunikation||Illustration,interview||library||art||communication||illustration,020 Bibliotheks- und Informationswissenschaften,LIBREAS. Library Ideas,LIBREAS. Verein,Zeitschriftenartikel,periodical,Zeitschrift,1860-7950,38,#38 Tiere und Gewächse,https://libreas.eu/,(CC BY 4.0) Namensnennung 4.0 International,http://creativecommons.org/licenses/by/4.0/,Humboldt-Universität zu Berlin,article,publishedVersion,Peer Reviewed,2187218-1
+,18452/23361,"Schuldt, Karsten",2020,ger,Pflanzen auf Photos von Bibliotheken. Essay,,,,,,Bibliothek||Pflanzen||Fotografie,library||plants||photography,020 Bibliotheks- und Informationswissenschaften,LIBREAS. Library Ideas,LIBREAS. Verein,Zeitschriftenartikel,periodical,Zeitschrift,1860-7950,38,#38 Tiere und Gewächse,https://libreas.eu/,(CC BY 4.0) Namensnennung 4.0 International,http://creativecommons.org/licenses/by/4.0/,Humboldt-Universität zu Berlin,article,publishedVersion,Peer Reviewed,2187218-1
